Date,Close,Adj Close,Volume
6/13/2019,132.320007,130.711548,17200800
6/14/2019,132.449997,130.839981,17821700
6/17/2019,132.850006,131.235123,14517800
6/18/2019,135.160004,133.517029,25934500
6/19/2019,135.690002,134.040604,23744400
6/20/2019,136.949997,135.285248,33042600
6/21/2019,136.970001,135.305038,36727900
6/24/2019,137.779999,136.105179,20628800
6/25/2019,133.429993,131.808044,33327400
6/26/2019,133.929993,132.301971,23657700
6/27/2019,134.149994,132.519287,16557500
6/28/2019,133.960007,132.331619,30043000
7/1/2019,135.679993,134.030701,22654200
7/2/2019,136.580002,134.919754,15237800
7/3/2019,137.460007,135.789063,13629300
7/5/2019,137.059998,135.393936,18141100
7/8/2019,136.960007,135.295151,16779700
7/9/2019,136.460007,134.801239,19953100
7/10/2019,137.850006,136.174347,24204400
7/11/2019,138.399994,136.717636,22327900
7/12/2019,138.899994,137.211563,18936800
7/15/2019,138.899994,137.211563,16651500
7/16/2019,137.080002,135.413681,22726100
7/17/2019,136.270004,134.613541,20211000
7/18/2019,136.419998,134.761719,30808700
7/19/2019,136.619995,134.959274,48992400
7/22/2019,138.429993,136.747269,25074900
7/23/2019,139.289993,137.596817,18034600
7/24/2019,140.720001,139.009445,20738300
7/25/2019,140.190002,138.485886,18356900
7/26/2019,141.339996,139.621902,19037600
7/29/2019,141.029999,139.315674,16605900
7/30/2019,140.350006,138.643936,16846500
7/31/2019,136.270004,134.613541,38598800
8/1/2019,138.059998,136.38176,40557500
8/2/2019,136.899994,135.235855,30791600
8/5/2019,132.210007,130.60289,42749600
8/6/2019,134.690002,133.05275,32696700
8/7/2019,135.279999,133.635544,33414500
8/8/2019,138.889999,137.201691,27496500
8/9/2019,137.710007,136.036041,23466700
8/12/2019,135.789993,134.139359,20476600
8/13/2019,138.600006,136.915222,25154600
8/14/2019,133.979996,132.792084,32527300
8/15/2019,133.679993,132.494751,28074400
8/16/2019,136.130005,134.92305,24449100
8/19/2019,138.410004,137.182831,24355700
8/20/2019,137.259995,136.043015,21170800
8/21/2019,138.789993,137.559433,14970300
8/22/2019,137.779999,136.558395,18697000
8/23/2019,133.389999,132.207321,38508600
8/26/2019,135.449997,134.249069,20312600
8/27/2019,135.740005,134.536484,23102100
8/28/2019,135.559998,134.358078,17393300
8/29/2019,138.119995,136.895386,20168700
8/30/2019,137.860001,136.637711,23940100
9/3/2019,136.039993,134.833832,18869300
9/4/2019,137.630005,136.409744,17995900
9/5/2019,140.050003,138.808273,26101800
9/6/2019,139.100006,137.866699,20824500
9/9/2019,137.520004,136.30072,25773900
9/10/2019,136.080002,134.873489,28903400
9/11/2019,136.119995,134.913101,24726100
9/12/2019,137.520004,136.30072,27010000
9/13/2019,137.320007,136.102478,23363100
9/16/2019,136.330002,135.121262,16731400
9/17/2019,137.389999,136.171875,17814200
9/18/2019,138.520004,137.29184,23982100
9/19/2019,141.070007,139.819244,35772100
9/20/2019,139.440002,138.20369,39167300
9/23/2019,139.139999,137.906342,17139300
9/24/2019,137.380005,136.161957,29773200
9/25/2019,139.360001,138.12439,21382000
9/26/2019,139.539993,138.302795,17456600
9/27/2019,137.729996,136.508835,22477700
9/30/2019,139.029999,137.797318,17280900
10/1/2019,137.070007,135.854706,21466600
10/2/2019,134.649994,133.456146,30521700
10/3/2019,136.279999,135.071701,24132900
10/4/2019,138.119995,136.895386,22897700
10/7/2019,137.119995,135.904251,15303700
10/8/2019,135.669998,134.467117,25550500
10/9/2019,138.240005,137.014328,19749900
10/10/2019,139.100006,137.866699,17654600
10/11/2019,139.679993,138.441544,25446000
10/14/2019,139.550003,138.312714,13304300
10/15/2019,141.570007,140.314804,19695700
10/16/2019,140.410004,139.165085,20751600
10/17/2019,139.690002,138.451462,21460600
10/18/2019,137.410004,136.191681,32273500
10/21/2019,138.429993,137.202621,20078200
10/22/2019,136.369995,135.160904,27431000
10/23/2019,137.240005,136.023209,29844600
10/24/2019,139.940002,138.699265,37029300
10/25/2019,140.729996,139.482239,25959700
10/28/2019,144.190002,142.911575,35280100
10/29/2019,142.830002,141.563629,20589500
10/30/2019,144.610001,143.32785,18496600
10/31/2019,143.369995,142.098831,24605100
11/1/2019,143.720001,142.44574,33128400
11/4/2019,144.550003,143.268387,16912000
11/5/2019,144.460007,143.179199,18250200
11/6/2019,144.059998,142.782715,16575800
11/7/2019,144.259995,142.980942,17786700
11/8/2019,145.960007,144.665878,16732700
11/11/2019,146.110001,144.814545,14362600
11/12/2019,147.070007,145.766037,18641600
11/13/2019,147.309998,146.003906,16919200
11/14/2019,148.059998,146.747253,19729800
11/15/2019,149.970001,148.640335,23485700
11/18/2019,150.339996,149.00705,21534000
11/19/2019,150.389999,149.056595,23935700
11/20/2019,149.619995,148.798019,25696800
11/21/2019,149.479996,148.658783,18576100
11/22/2019,149.589996,148.768188,15901800
11/25/2019,151.229996,150.399185,22420900
11/26/2019,152.029999,151.194794,24620100
11/27/2019,152.320007,151.4832,15184400
11/29/2019,151.380005,150.54837,11977300
12/2/2019,149.550003,148.728424,27418400
12/3/2019,149.309998,148.489731,24066000
12/4/2019,149.850006,149.026764,17574700
12/5/2019,149.929993,149.106323,17869100
12/6/2019,151.75,150.916321,16403500
12/9/2019,151.360001,150.528473,16687400
12/10/2019,151.130005,150.299744,16476100
12/11/2019,151.699997,150.866592,18856600
12/12/2019,153.240005,152.398148,24612100
12/13/2019,154.529999,153.681061,23845400
12/16/2019,155.529999,154.675552,24144200
12/17/2019,154.690002,153.840179,25425600
12/18/2019,154.369995,153.521942,24129200
12/19/2019,155.710007,154.854584,24958900
12/20/2019,157.410004,156.545242,53477500
12/23/2019,157.410004,156.545242,17718200
12/24/2019,157.380005,156.515396,8989200
12/26/2019,158.669998,157.798309,14520600
12/27/2019,158.960007,158.086731,18412800
12/30/2019,157.589996,156.724243,16348400
12/31/2019,157.699997,156.833633,18369400
1/2/2020,160.619995,159.737595,22622100
1/3/2020,158.619995,157.748581,21116200
1/6/2020,159.029999,158.156342,20813700
1/7/2020,157.580002,156.71431,21634100
1/8/2020,160.089996,159.210495,27746500
1/9/2020,162.089996,161.199509,21385000
1/10/2020,161.339996,160.453644,20725900
1/13/2020,163.279999,162.38298,21626500
1/14/2020,162.130005,161.239304,23477400
1/15/2020,163.179993,162.283539,21417900
1/16/2020,166.169998,165.257111,23865400
1/17/2020,167.100006,166.182007,34371700
1/21/2020,166.5,165.585297,29517200
1/22/2020,165.699997,164.789688,24138800
1/23/2020,166.720001,165.804092,19680800
1/24/2020,165.039993,164.133316,24918100
1/27/2020,162.279999,161.388474,32078100
1/28/2020,165.460007,164.551025,24899900
1/29/2020,168.039993,167.116821,34754500
1/30/2020,172.779999,171.830795,51597500
1/31/2020,170.229996,169.2948,36142700
2/3/2020,174.380005,173.422012,30149100
2/4/2020,180.119995,179.130478,36433300
2/5/2020,179.899994,178.911682,39186300
2/6/2020,183.630005,182.621201,27751400
2/7/2020,183.889999,182.879761,33529100
2/10/2020,188.699997,187.66333,35844300
2/11/2020,184.440002,183.426743,53159900
2/12/2020,184.710007,183.695251,47062900
2/13/2020,183.710007,182.70076,35295800
2/14/2020,185.350006,184.331741,23149500
2/18/2020,187.229996,186.201416,27792200
2/19/2020,187.279999,186.759857,29997500
2/20/2020,184.419998,183.907806,36862400
2/21/2020,178.589996,178.093994,48572600
2/24/2020,170.889999,170.415375,68311100
2/25/2020,168.070007,167.603226,68073300
2/26/2020,170.169998,169.697372,56206100
2/27/2020,158.179993,157.740677,93033600
2/28/2020,162.009995,161.560043,97073600
3/2/2020,172.789993,172.310104,71030800
3/3/2020,164.509995,164.053101,71677000
3/4/2020,170.550003,170.076324,49814400
3/5/2020,166.270004,165.808212,47817300
3/6/2020,161.570007,161.121277,72821100
3/9/2020,150.619995,150.201675,70419300
3/10/2020,160.919998,160.473068,65354400
3/11/2020,153.630005,153.203323,56371600
3/12/2020,139.059998,138.673782,93226400
3/13/2020,158.830002,158.38887,92727400
3/16/2020,135.419998,135.043884,87905900
3/17/2020,146.570007,146.162933,81059800
3/18/2020,140.399994,140.010056,81593200
3/19/2020,142.710007,142.31366,85922700
3/20/2020,137.350006,136.968536,84866200
3/23/2020,135.979996,135.602341,78975200
3/24/2020,148.339996,147.928009,82516700
3/25/2020,146.919998,146.511948,75638200
3/26/2020,156.110001,155.676437,64568100
3/27/2020,149.699997,149.284225,57042300
3/30/2020,160.229996,159.784988,63420300
3/31/2020,157.710007,157.271988,77927200
4/1/2020,152.110001,151.687546,57969900
4/2/2020,155.259995,154.828781,49630700
4/3/2020,153.830002,153.402771,41243300
4/6/2020,165.270004,164.810989,67111700
4/7/2020,163.490005,163.035934,62769000
4/8/2020,165.130005,164.671387,48318200
4/9/2020,165.139999,164.681351,51431800
4/13/2020,165.509995,165.050323,41905300
4/14/2020,173.699997,173.217575,52874300
4/15/2020,171.880005,171.402634,40940800
4/16/2020,177.039993,176.548294,50479600
4/17/2020,178.600006,178.103973,52765600
4/20/2020,175.059998,174.573792,36669600
4/21/2020,167.820007,167.353912,56203700
4/22/2020,173.520004,173.038086,34651600
4/23/2020,171.419998,170.943909,32790800
4/24/2020,174.550003,174.065216,34305300
4/27/2020,174.050003,173.566605,33194400
4/28/2020,169.809998,169.338379,34392700
4/29/2020,177.429993,176.93721,51286600
4/30/2020,179.210007,178.71228,53661300
5/1/2020,174.570007,174.085175,39370500
5/4/2020,178.839996,178.343292,30372900
5/5/2020,180.759995,180.257965,36839200
5/6/2020,182.539993,182.03302,32139300
5/7/2020,183.600006,183.090088,28316000
5/8/2020,184.679993,184.167068,30912600
5/11/2020,186.740005,186.221359,30892700
5/12/2020,182.509995,182.003098,32038200
5/13/2020,179.75,179.250778,44711500
5/14/2020,180.529999,180.02861,41873900
5/15/2020,183.160004,182.651306,46610400
5/18/2020,184.910004,184.396439,35306600
5/19/2020,183.630005,183.119995,26799100
5/20/2020,185.660004,185.660004,31261300
5/21/2020,183.429993,183.429993,29119500
5/22/2020,183.509995,183.509995,20826900
5/26/2020,181.570007,181.570007,36073600
5/27/2020,181.809998,181.809998,39517100
5/28/2020,181.399994,181.399994,33810200
5/29/2020,183.25,183.25,42146700
6/1/2020,182.830002,182.830002,22622400
6/2/2020,184.910004,184.910004,30794600
6/3/2020,185.360001,185.360001,27311000
6/4/2020,182.919998,182.919998,28761800
6/5/2020,187.199997,187.199997,39893600
6/8/2020,188.360001,188.360001,33211600
6/9/2020,189.800003,189.800003,29783900
6/10/2020,196.839996,196.839996,43872300
6/11/2020,186.270004,186.270004,52854700
